"year","Bottom Otter Trawl","Driftnet","Gillnet","Handline","Jigger","Longline","Midwater Trawl","Miscellaneous","Seine","Trap","Unspecified","Weir","NA"
1968,9720,0,3957,0,0,0,0,4537,2470,0,0,154,0
1969,4100,151,4178,930,0,5,1278,1272,2211,1101,2922,488,0
1970,4191,0,4808,205,0,8,1054,3854,3831,0,819,2236,0
1971,9513,0,5168,505,0,2,46,3624,4479,0,0,1159,0
1972,6094,0,4391,538,0,0,3,3655,6601,0,0,1078,0
1973,16828,0,5966,80,0,26,0,2575,9334,0,3109,632,0
1974,21040,0,5241,554,0,4,6830,3960,6435,0,109,482,0
1975,17485,0,5120,118,0,16,4953,4627,2989,0,291,659,0
1976,2546,0,3760,711,0,0,14178,6367,5283,0,0,220,0
1977,347,0,5767,527,0,2,2610,4943,8464,0,0,105,0
1978,430,0,6366,1286,0,21,52,4343,13339,0,0,62,0
1979,325,0,8583,1272,0,0,52,4694,15683,0,0,3,0
1980,238,0,8744,994,0,0,0,3879,8433,0,0,8,0
1981,231,0,7020,1095,0,0,0,3922,7060,0,0,27,0
1982,14,0,6463,1945,0,0,0,7427,419,0,0,115,0
1983,66,0,5639,1132,0,16,0,5237,7690,0,0,26,0
1984,924,0,5887,3607,0,46,0,2935,4727,0,2,105,0
1985,1043,1524,6767,3422,0,13,1,3281,14405,0,7,443,0
1986,728,1506,7597,3273,0,14,42,4313,12681,0,0,943,0
1987,67,800,6475,3476,0,5,0,3282,13071,0,0,383,0
1988,798,920,8425,4984,0,26,161,2774,6584,0,0,344,0
1989,258,945,7709,4046,0,15,60,2169,5838,0,1,101,0
1990,1751,245,8045,4898,0,17,2103,1884,4032,0,9,63,0
1991,229,495,6794,6121,0,1,368,2913,8589,0,1,0,0
1992,601,122,5649,4153,0,31,1651,4361,9713,0,17,264,0
1993,689,428,7970,4531,0,42,1,3085,10070,0,1,31,0
1994,46,479,5986,4866,0,0,0,5399,3185,0,649,3,0
1995,121.366,267.936,4237.399,3829.57,899.29,0.418,0,5539.499,2616.357,0,0,176.768,0
1996,144.392,1550.612,4869.194,4699.739,1231.435,0.062,0,4333.31,3529.136,0,0,0,0
1997,206.993,351.875,6305.356,6202.575,3028.5,0,0,4202.884,1110.687,0,0,1.197,0
1998,15.687,342.141,7323.39,3647.875,1997.916,6.942,0,4325.402,1712.479,0,0,140.97,0
1999,23.928,297.379,4831.235,5435.411,569.462,3.137,0,4056.957,1312.822,0,0,7.664,303
2000,1.267,185.409,5101.615,2230.121,90.041,3.917,0,4246.288,3926.925,0,0,0,310.848
2001,6.27,10.167,6548.96,5677.5,160.162,18.852,0,3235.014,8328.163,0,8,46.057,308.08
2002,4.53,0,4957.868,9838.777,129.216,18.775,0,2087.943,17204.904,0,7,47.714,326.044
2003,3.14,210.496,4403.7,9918.211,9.135,15.304,0,3647.414,26156.152,0,6,74.26,216.772
2004,1.863,188.369,4524.46,4124.886,993.117,3.801,14,4632.248,39063.756,0,0,1.78,361.582
2005,1.435,140.227,3897.623,5980.851,1543.055,60.815,0,3415.097,40753.242,0,0,20.305,185.656
2006,6.649,0.494,4499.297,3297.809,742.082,48.235,13.859,2349.544,42583.337,0,3,2.923,212.103
2007,6.683,2.096,3629.576,2740.29,337.485,15.134,0,2906.805,43075.656,0,0,0.091,651.384
2008,0.363,0,2594.274,2697.642,331.326,8.588,0,1158.868,22711.725,0,4,25.469,107.381
2009,0.587,26.64,3503.826,2857.202,729.107,2.872,0,1676.482,33251.403,0,0,0.439,156.527
2010,0.712,3.444,2748.082,1868.019,545.777,0,0,1128.12,32191.167,0,0,0,160.683
2011,1.194,21.549,1710.573,1593.207,520.754,5.457,0,651.956,6868.353,0,0,0,111.56
2012,2.501,0,992.103,1753.876,540.944,5.975,0,682.565,2657.997,0,0,105.741,101.371
2013,5.241,0,634.402,1591.5,604.926,0.321,0,472.468,5265.566,0,0,2.21,97.33
2014,6.255,0,523.874,1310.054,763.14,0.001,0,598.287,3343.121,0,0,0,134.915
2015,2.101,0,644.06,1368.832,649.026,0,0,441.945,1029.246,0,1,0,137.103
2016,4.32,2.333,926.579,1460.207,228.759,0.161,0,558.96,4529.713,0,0,29.767,310.992
2017,6.339,7.566,3975.3,1502.451,279.403,0.05,0,958.477,2806.993,0,3,13.186,215.309
2018,6.481,12.314,2857.447,999.151,262.642,0,0,1104.703,5628.44,0,0,7.215,172.876
2019,5.982,1.061,2788.236,377.106,149.946,0,0.055,575.452,4742.056,0,0,1.161,108.865
2020,8.034,5.628,2375.845,302.512,135.45,4.755,0,957.234,4040.144,0,0,0.297,126.854
2021,4.303,32.155,2038.443,545.914,120.309,9.412,0,743.948,768.067,0,0,2.297,253.755
2022,3.707,0.055,14.417,0,0,0.68,0,7.686,0,0,0,29.7,85.125
2023,7.748,0.977,10.298,0,0,0,0,2.719,0,0,0,20.749,52.51
2024,0.766,11.75,17.056,35.146,1.611,0,0,1.413,7,0,0,2.51,23.325
