"year","Bottom Otter Trawl","Driftnet","Gillnet","Handline","Jigger","Longline","Midwater Trawl","Miscellaneous","Seine","Shrimp Beam Trawl","Trap","Unspecified","Weir","NA"
1968,9720,0,3957,0,0,0,0,4537,2470,0,0,0,154,0
1969,4100,151,4178,930,0,5,1278,1272,2211,0,1101,2922,488,0
1970,4191,0,4808,205,0,8,1054,3854,3831,0,0,819,2236,0
1971,9513,0,5168,505,0,2,46,3624,4479,0,0,0,1159,0
1972,6094,0,4391,538,0,0,3,3655,6601,0,0,0,1078,0
1973,16828,0,5966,80,0,26,0,2575,9334,0,0,3109,632,0
1974,21040,0,5241,554,0,4,6830,3960,6435,0,0,109,482,0
1975,17485,0,5120,118,0,16,4953,4627,2989,0,0,291,659,0
1976,2546,0,3760,711,0,0,14178,6367,5283,0,0,0,220,0
1977,347,0,5767,527,0,2,2610,4943,8464,0,0,0,105,0
1978,430,0,6366,1286,0,21,52,4343,13339,0,0,0,62,0
1979,325,0,8583,1272,0,0,52,4694,15683,0,0,0,3,0
1980,238,0,8744,994,0,0,0,3879,8433,0,0,0,8,0
1981,231,0,7020,1095,0,0,0,3922,7060,0,0,0,27,0
1982,14,0,6463,1945,0,0,0,7427,419,0,0,0,115,0
1983,66,0,5639,1132,0,16,0,5237,7690,0,0,0,26,0
1984,924,0,5887,3607,0,46,0,2935,4727,0,0,2,105,0
1985,1043,1524,6767,3422,0,13,1,3281,14405,0,0,7,443,0
1986,728,1506,7597,3273,0,14,42,4313,12681,0,0,0,943,0
1987,67,800,6475,3476,0,5,0,3282,13071,0,0,0,383,0
1988,798,920,8425,4984,0,26,161,2774,6584,0,0,0,344,0
1989,258,945,7709,4046,0,15,60,2169,5838,0,0,1,101,0
1990,1751,245,8045,4898,0,17,2103,1884,4032,0,0,9,63,0
1991,229,495,6794,6121,0,1,368,2913,8589,0,0,1,0,0
1992,601,122,5649,4153,0,31,1651,4361,9713,0,0,17,264,0
1993,689,428,7970,4531,0,42,1,3085,10070,0,0,1,31,0
1994,46,479,5986,4866,0,0,0,5399,3185,0,0,649,3,0
1995,121.366,267.936,4237.399,3829.57,899.29,0.418,0,5539.499,2616.357,0,0,0,176.768,0
1996,144.392,1550.612,4869.194,4699.739,1231.435,0.062,0,4333.31,3529.136,0,0,0,0,0
1997,206.993,351.875,6305.356,6202.575,3028.5,0,0,4202.884,1110.687,0,0,0,1.197,0
1998,15.687,342.141,7316.65,3647.663,1997.916,6.661,0,4005.387,1712.479,0,0,0,140.97,0
1999,23.928,297.379,4831.235,5435.411,569.462,3.137,0,4056.957,1312.822,0,0,0,7.664,0
2000,1.267,185.409,5101.388,2230.121,90.041,3.917,0,4246.288,3909.813,0,0,0,0,310.848
2001,6.27,10.167,6547.057,5676.136,160.162,20.216,0,3236.917,8328.163,0,0,8,46.057,308.08
2002,4.53,0,4957.868,9838.777,129.216,18.775,0,2087.943,17188.74,0,0,7,47.714,326.044
2003,3.14,209.648,4332.068,9842.039,8.867,15.834,0,3664.973,26098.658,0,0,6,74.26,216.772
2004,1.863,188.369,4523.697,4124.886,993.117,3.801,14,4632.248,39030.082,0,0,0,1.78,361.582
2005,1.435,122.474,3780.238,5313.354,1115.466,60.815,0,3415.37,40742.874,0,0,0,20.305,191.439
2006,6.649,0.494,4484.438,3297.141,741.965,47.774,13.859,2341.493,42543.921,0,25.658,3,0,0
2007,6.683,2.096,3613.217,2740.29,337.485,15.134,0,2906.717,42934.034,0,16.437,0,0,651.384
2008,0.363,0,2471.382,2363.21,331.326,8.588,0,1155.477,22554.947,0,37.38,4,1.68,549.442
2009,0.587,26.64,3436.302,2857.202,729.107,2.872,0,1676.482,33251.403,0,67.624,0,0,156.527
2010,0.712,2.536,2726.877,1868.019,545.777,0,0,1129.028,32191.167,0,21.191,0,0,160.683
2011,1.194,21.549,1684.493,1593.207,520.754,5.457,0,651.956,6868.353,0,26.075,0,0,111.56
2012,2.501,0,948.89,1753.876,540.944,5.975,0,679.169,2657.997,0,125.904,0,24.74,101.371
2013,5.235,0,621.327,1591.5,604.926,0.321,0,472.468,5265.566,0,15.104,0,0,97.33
2014,6.242,0,505.871,1305.796,762.642,0.001,0,597.017,3343.121,4.258,18.323,0,0,134.915
2015,2.094,0,644.051,1368.18,649.026,0,0,441.945,1029.246,0.238,0.009,1,0,137.103
2016,4.32,2.333,926.333,1458.117,228.759,0.161,0,558.96,4529.713,0.498,0.907,0,28.86,306.498
2017,6.321,7.566,3947.648,1494.142,279.403,0.05,0,958.559,2806.993,0,17.137,3,12.8,219.04
2018,6.481,12.314,2583.18,998.305,262.642,0,0,1051.759,5628.44,0,268.27,0,6.75,172.876
2019,5.982,1.061,2435.97,376.837,149.946,0,0.055,565.653,4742.056,0,359.175,0,0,108.865
2020,7.965,4.074,2119.985,282.732,135.45,4.755,0,946.842,4040.144,19.084,233.03,0,0,146.045
2021,4.303,30.788,1975.129,306.392,120.309,9.412,0,166.76,768.067,233.534,624.358,0,0.907,268.847
2022,3.694,0.055,14.417,0,0,0.68,0,7.234,0,0,0,0,29.7,85.125
2023,7.547,0.595,8.391,0,0,0,0,2.183,0,0,3.988,0,0.264,0
