"year","Canada","Foreign","total"
1968,11118,9720,20838
1969,13257,5379,18636
1970,15710,5296,21006
1971,14942,9554,24496
1972,16253,6107,22360
1973,21566,16984,38550
1974,16701,27954,44655
1975,13540,22718,36258
1976,15746,17319,33065
1977,19852,2913,22765
1978,25429,470,25899
1979,30244,368,30612
1980,22135,161,22296
1981,19294,61,19355
1982,16380,3,16383
1983,19797,9,19806
1984,17320,913,18233
1985,29855,1051,30906
1986,30325,772,31097
1987,27488,71,27559
1988,24060,956,25016
1989,20795,347,21142
1990,19190,3857,23047
1991,24914,597,25511
1992,24307,2255,26562
1993,26158,690,26848
1994,20564,49,20613
1995,17626.603,62,17688.603
1996,20281.88,76,20357.88
1997,21294.067,116,21410.067
1998,19175.554,10,19185.554
1999,16525.995,12,16537.995
2000,16053.092,26,16079.092
2001,24336.225,11,24347.225
2002,34599.607,7,34606.607
2003,44463.259,9,44472.259
2004,53861.425,14,53875.425
2005,54763.77,0,54763.77
2006,53503.392,3,53506.392
2007,53223.477,0,53223.477
2008,29473.795,4,29477.795
2009,42204.746,0,42204.746
2010,38645.99,0,38645.99
2011,11484.598,0,11484.598
2012,6841.367,0,6841.367
2013,8673.777,0,8673.777
2014,6678.186,0,6678.186
2015,4271.892,1,4272.892
2016,8045.459,0,8045.459
2017,9749.659,3,9752.659
2018,10990.389,0.628,10991.017
2019,8745.6,0,8745.6
2020,7940.106,0,7940.106
2021,4508.806,0,4508.806
2022,140.905,0,140.905
2023,22.968,0,22.968
