Year,Pounds,Metric Tons,Dollars,Collection
1950,22093100,10021,2057989,Commercial
1951,15742700,7141,1487134,Commercial
1952,18187200,8250,1586412,Commercial
1953,8545500,3876,997434,Commercial
1954,4017800,1822,587432,Commercial
1955,3870200,1756,434304,Commercial
1956,4033800,1830,485711,Commercial
1957,2419500,1097,359143,Commercial
1958,4574700,2075,527612,Commercial
1959,4044400,1835,468756,Commercial
1960,3038100,1378,433133,Commercial
1961,3010600,1366,444071,Commercial
1962,2055300,932,312948,Commercial
1963,2914900,1322,312786,Commercial
1964,4731783,2146,355585,Commercial
1965,4327415,1963,382306,Commercial
1966,5996800,2720,467028,Commercial
1967,8518900,3864,428182,Commercial
1968,7613400,3453,432588,Commercial
1969,8905800,4040,483282,Commercial
1970,8013300,3635,417000,Commercial
1971,5147800,2335,263987,Commercial
1972,5529200,2508,429481,Commercial
1973,4472500,2029,539407,Commercial
1974,2368300,1074,383140,Commercial
1975,4051400,1838,472048,Commercial
1976,4981100,2259,614992,Commercial
1977,2777400,1260,521156,Commercial
1978,3346200,1518,713810,Commercial
1979,3861300,1751,902491,Commercial
1980,5955000,2701,827597,Commercial
1981,6441600,2922,997179,Commercial
1981,5388035,2444,,Recreational
1982,7274100,3300,1030366,Commercial
1982,4124089,1871,,Recreational
1983,6435100,2919,1344109,Commercial
1983,6053964,2746,,Recreational
1984,6555300,2973,981752,Commercial
1984,5771453,2618,,Recreational
1985,6311500,2863,978480,Commercial
1985,8164842,3704,,Recreational
1986,8845200,4012,1143712,Commercial
1986,16716448,7583,,Recreational
1987,9467200,4294,1018083,Commercial
1987,15006752,6807,,Recreational
1988,14099000,6395,1879075,Commercial
1988,9887934,4485,,Recreational
1989,15470600,7017,2695505,Commercial
1989,5960744,2704,,Recreational
1990,19917823,9035,3172112,Commercial
1990,6650513,3017,,Recreational
1991,34508753,15653,4848204,Commercial
1991,7567948,3433,,Recreational
1992,25812143,11708,3579069,Commercial
1992,1686168,765,,Recreational
1993,10277783,4662,1314373,Commercial
1993,2540882,1153,,Recreational
1994,19659555,8918,2641596,Commercial
1994,5481590,2486,,Recreational
1995,18592458,8433,2728618,Commercial
1995,2852016,1294,,Recreational
1996,34324751,15570,4555557,Commercial
1996,5049855,2291,,Recreational
1997,32933803,14939,9199980,Commercial
1997,5487240,2489,,Recreational
1998,26972920,12235,4704206,Commercial
1998,3146965,1427,,Recreational
1999,26066984,11824,3495605,Commercial
1999,5717833,2594,,Recreational
2000,12277020,5569,1912643,Commercial
2000,6126812,2779,,Recreational
2001,27111294,12298,2214794,Commercial
2001,6097852,2766,,Recreational
2002,47340936,21474,5619782,Commercial
2002,5364726,2433,,Recreational
2003,68165273,30920,7324108,Commercial
2003,3612756,1639,,Recreational
2004,121231135,54990,13136164,Commercial
2004,2302891,1045,,Recreational
2005,93046533,42206,12348899,Commercial
2005,3614117,1639,,Recreational
2006,124860852,56637,23881083,Commercial
2006,7008959,3179,,Recreational
2007,56315048,25544,6744646,Commercial
2007,1585533,719,,Recreational
2008,47913413,21733,6903027,Commercial
2008,5233266,2374,,Recreational
2009,49868961,22620,9509194,Commercial
2009,3350005,1520,,Recreational
2010,21729226,9856,4378921,Commercial
2010,8708439,3950,,Recreational
2011,1151705,522,418904,Commercial
2011,8033383,3644,,Recreational
2012,11755004,5332,4108989,Commercial
2012,5259347,2386,,Recreational
2013,9114251,4134,1772919,Commercial
2013,5019171,2277,,Recreational
2014,13112281,5948,3244007,Commercial
2014,4548014,2063,,Recreational
2015,12504141,5672,3999024,Commercial
2015,8056053,3654,,Recreational
2016,12582928,5708,3339912,Commercial
2016,9145928,4149,,Recreational
2017,15341726,6959,4027168,Commercial
2017,7941523,3602,,Recreational
2018,19222659,8719,4336322,Commercial
2018,4551168,2064,,Recreational
2019,11125565,5047,2758684,Commercial
2019,3880199,1760,,Recreational
2020,17697833,8028,4981544,Commercial
2020,4089991,1855,,Recreational
2021,12068628,5474,11024937,Commercial
2021,4258980,1932,,Recreational
